iso3,country,hdicode,le_2021,eys_2021,mys_2021,gnipc_2021,ineq_le_2021,gii_2021,mf_2021,co2_prod_2021,lat
AFG,Afghanistan,Low,61.9824,10.26384398,2.98506999,1824.190915,26.16536713,0.678,1.38,0.312376488,33.22566666666667
AGO,Angola,Medium,61.6434,12.1721,5.417390823,5465.617791,28.1877327,0.537,2.18,0.675409733,-12.398
ALB,Albania,High,76.4626,14.44799995,11.28645502,14131.11039,6.790634632,0.144,12.96,1.575753953,41.0715
ARE,United Arab Emirates,Very High,78.7104,15.71769047,12.69402981,62573.59181,4.524926186,0.049,68.95,15.19333592,23.7745
ARG,Argentina,Very High,75.3899,17.8748703,11.14726927,20925.26814,7.624845505,0.287,15.81,3.473291552,-34.688500000000005
ARM,Armenia,High,72.0431,13.11676025,11.33030033,13157.9939,7.035874367,0.216,5.95,1.987788379,40.26133333333333
AUS,Australia,Very High,84.5265,21.05459023,12.72681999,49238.43335,2.73797965,0.073,46.82,15.36837971,-25.657666666666668
AUT,Austria,Very High,81.5797,16.00795937,12.25669003,53618.67138,3.256919384,0.053,24.62,6.732425105,47.420741583325
AZE,Azerbaijan,High,69.3658,13.49689007,10.5429697,14256.74456,11.32313728,0.294,10.56,3.720272365,40.465
BDI,Burundi,Low,61.6627,10.72272189,3.129266883,731.7867086,25.60641861,0.505,1.71,0.050642582,-3.428
BEL,Belgium,Very High,81.8787,19.60421944,12.37567997,52293.399770000004,3.582081079,0.048,33.45,7.226205719,50.764908333324996
BEN,Benin,Low,59.821,10.76667976,4.304786445,3408.965923,32.66172791,0.602,3.4,0.552890326,10.0205
BFA,Burkina Faso,Low,59.2696,9.142100334,2.114962259,2117.915916,31.36138916,0.621,2.96,0.189903275,12.639
BGD,Bangladesh,Medium,72.3811,12.44198036,7.379059792,5472.104781,15.54324818,0.53,2.88,0.563737615,24.109
BGR,Bulgaria,High,71.798,13.89729023,11.41318035,23078.95595,5.180382729,0.21,15.02,5.388845994,42.773416749999996
BHR,Bahrain,Very High,78.7605,16.29755974,11.04658985,39497.24788,4.50674057,0.181,23.83,20.54572969,26.01308325
BHS,Bahamas,Very High,71.5983,12.89945,12.64192386,30486.18429,8.739097595,0.329,37.8,5.944655227,24.439
BIH,Bosnia and Herzegovina,High,75.3003,13.8,10.53631973,15241.91465,3.98234725,0.136,14.44,6.528247977,44.0845
BLR,Belarus,Very High,72.438,15.16996956,12.14358044,18848.96704,3.349644184,0.104,5.59,6.07931383,53.269999999999996
BLZ,Belize,Medium,70.4697,12.99168968,8.847599983,6309.099778,9.247613907,0.364,12.21,1.465666402,17.334
BOL,Bolivia (Plurinational State of),Medium,63.6304,14.94697094,9.827750206,8111.190194,18.02205467,0.418,11.32,1.773319863,-16.8575
BRA,Brazil,High,72.7504,15.59906006,8.128813955,14369.88848,9.988456726,0.39,18.87,2.198836949,-10.386
BRN,Brunei Darussalam,Very High,74.6424,13.95178032,9.18,64489.53954,7.503439903,0.259,85.7,23.22054316,4.57026
BTN,Bhutan,Medium,71.815,13.22500478,5.170262283,9437.541512,14.92243862,0.415,32.43,2.495308499,27.4575
BWA,Botswana,Medium,61.1409,12.26513765,10.34,16198.31841,21.56492996,0.468,14.19,2.772080776,-22.091
CAF,Central African Republic,Low,53.8947,8.040171714,4.334,966.0586107,36.02700043,0.672,1.57,0.038906639,6.7855
CAN,Canada,Very High,82.6565,16.39625931,13.83442722,46807.98619,4.106589317,0.069,35.05,14.19693746,59.693666666666665
CHE,Switzerland,Very High,83.9872,16.50029945,13.85966015,66933.00454,3.103429079,0.018,31.14,3.731913422,46.930499999999995
CHL,Chile,Very High,78.9435,16.73130035,10.9349663,24563.24486,4.907827854,0.187,13.5,4.24621503,-26.806787666666665
